,,UP,DOWN,LEFT,RIGHT
0,0,-100.0,-0.1462412299048261,-100.0,-100.0
0,1,0.0,0.0,0.0,0.0
0,2,-100.0,-0.14556205401559383,-100.0,-0.14021508824662457
0,3,-100.0,-0.07050387715210002,-0.2020396200963531,-0.2116948212726197
0,4,-100.0,-0.15115598365738872,-0.1495297447324554,-0.15674434171529186
0,5,-100.0,-100.0,-0.15079327879826565,-0.16427862226274426
0,6,-100.0,-0.16406460554342117,-0.16190249395739548,-0.17481693390802772
0,7,-100.0,-0.16783886305842116,-0.1720877276092667,-0.17056469978275027
0,8,-100.0,-0.16134120085579756,-0.16702566505558222,-0.16472049106578177
0,9,-100.0,-0.1631787665512028,-0.16646611674389516,-100.0
1,0,-0.22403286906091852,-0.06306466328308091,-100.0,-0.22050797899059593
1,1,-100.0,-0.14492616969265562,-0.14494519432827618,-0.14576963806423213
1,2,-0.12124082713610668,-0.1217547784242759,-0.139869053762683,-0.11602414545610316
1,3,-0.12956011315529617,-0.12327458567297377,-0.17228703570430823,-0.020791000000000004
1,4,-0.2176917860232519,-0.22236153589155014,-0.07145047454689,-100.0
1,5,0.0,0.0,0.0,0.0
1,6,-0.22633752236475305,-0.09549238782755201,-100.0,-0.22891683543876135
1,7,-0.16816469279764187,-0.16235163685238171,-0.1610583428812596,-0.16587900723490323
1,8,-0.15645780243603402,-0.16222910010720087,-0.16214785670651333,-0.15803259958121624
1,9,-0.16568459158496648,-0.15522608079494837,-0.15968723229543677,-100.0
2,0,-0.09317647214145429,-100.0,-100.0,-0.03482140494790001
2,1,-0.21210801754052802,-100.0,-0.060516485924311005,-0.22425106821938964
2,2,-0.15387744302020315,-0.15676762494447571,-0.1487797339454879,-0.14941177337705747
2,3,-0.061416236052100004,-100.0,-0.2253363246202222,-0.2328443352162179
2,4,-0.1538489832999742,-100.0,-0.15270554673984474,-100.0
2,5,0.0,0.0,0.0,0.0
2,6,-0.1376067599592238,-100.0,-100.0,-0.04734404729137091
2,7,-0.21747047432659616,-0.17999586032790868,-0.08918610518075874,-0.20568646704397156
2,8,-0.15381673840039362,-0.1599104688358532,-0.15239010870200237,-0.15847360451504178
2,9,-0.1571378453711956,-0.151867907101561,-0.15846103280328272,-100.0
3,0,0.0,0.0,0.0,0.0
3,1,0.0,0.0,0.0,0.0
3,2,-0.15587866486958635,-100.0,-100.0,-100.0
3,3,0.0,0.0,0.0,0.0
3,4,0.0,0.0,0.0,0.0
3,5,-100.0,-0.1230335937434954,-100.0,-100.0
3,6,0.0,0.0,0.0,0.0
3,7,-0.13919561310762923,-100.0,-100.0,-0.13574289456625335
3,8,-0.14884024630872875,-100.0,-0.14338010321599629,-0.15184214217740466
3,9,-0.15549738256135515,-0.14865754698239092,-0.14723869380055812,-100.0
4,0,0.0,0.0,0.0,0.0
4,1,0.0,0.0,0.0,0.0
4,2,0.0,0.0,0.0,0.0
4,3,-100.0,-0.028891000000000007,-100.0,-100.0
