,,UP,DOWN,LEFT,RIGHT
4,4,0.0,0.0,0.0,0.0
4,5,-0.19087538544682361,4.272670752082276,-100.0,-100.0
4,6,0.0,0.0,0.0,0.0
4,7,0.0,0.0,0.0,0.0
4,8,0.0,0.0,0.0,0.0
4,9,-0.14707721872491214,-0.14862340931283635,-100.0,-100.0
5,0,0.0,0.0,0.0,0.0
5,1,1.0,0.0,0.0,0.0
5,2,0.0,0.0,0.0,0.0
5,3,-0.028810000000000002,-0.029701000000000005,-100.0,-100.0
5,4,0.0,0.0,0.0,0.0
5,5,0.15016627561729384,5.182004093361812,-100.0,-0.20608223380167745
5,6,-100.0,0.011136822990094206,-0.14681070626544027,-0.16316292016142084
5,7,-100.0,-0.14908451646400944,-0.15315229873435743,-0.15536270404904876
5,8,-100.0,-0.1539800052034297,-0.1498766366006223,-0.1517000338234961
5,9,-0.14710573241112837,-0.1501764232340015,-0.1544345564117735,-100.0
6,0,0.0,0.0,0.0,0.0
6,1,-0.010000000000000002,0.0,0.0,-0.010000000000000002
6,2,-100.0,2.4706190477438628,-0.019000000000000003,0.112093194510108
6,3,-0.028810000000000002,2.2042602323774476,0.05071519281671001,-0.03217231
6,4,-100.0,3.5537619194652463,0.14626737679107032,-0.05490206736541861
6,5,1.0677695192775283,6.062301882459664,0.448975461585728,0.36382187043727326
6,6,-0.13949304254792497,-100.0,2.5630985344705826,-0.12771372536069728
6,7,-0.1455606419740914,-100.0,0.011315325387948855,-0.14081607749493905
6,8,-0.14847631766502292,-100.0,-0.14930792965452153,-0.14624044163798727
6,9,-0.15135321654094722,-100.0,-0.14742195430254806,-100.0
7,0,0.0,0.0,0.0,0.0
7,1,0.0,0.0,0.0,0.0
7,2,0.21607058434920817,-100.0,9.999704873345692,5.50207732700649
7,3,0.043471912537455824,-100.0,8.898231736896912,2.8602996953655975
7,4,0.6239008454856976,-100.0,7.898971534277178,1.4065639034582251
7,5,0.9715406571710565,-100.0,6.967096435226297,-100.0
7,6,0.0,0.0,0.0,0.0
7,7,0.0,0.0,0.0,0.0
7,8,0.0,0.0,0.0,0.0
7,9,0.0,0.0,0.0,0.0
8,0,0.0,0.0,0.0,0.0
8,1,0.0,0.0,0.0,0.0
8,2,0.0,0.0,0.0,0.0
8,3,0.0,0.0,0.0,0.0
8,4,0.0,0.0,0.0,0.0
8,5,0.0,0.0,0.0,0.0
8,6,0.0,0.0,0.0,0.0
8,7,0.0,0.0,0.0,0.0
8,8,0.0,0.0,0.0,0.0
8,9,0.0,0.0,0.0,0.0
9,0,0.0,0.0,0.0,0.0
9,1,0.0,0.0,0.0,0.0
9,2,0.0,0.0,0.0,0.0
9,3,0.0,0.0,0.0,0.0
9,4,0.0,0.0,0.0,0.0
9,5,0.0,0.0,0.0,0.0
9,6,0.0,0.0,0.0,0.0
9,7,0.0,0.0,0.0,0.0
9,8,0.0,0.0,0.0,0.0
9,9,0.0,0.0,0.0,0.0
