,,UP,DOWN,LEFT,RIGHT
0,0,-100.0,-0.09329385083552344,-100.0,-100.0
0,1,0.0,0.0,0.0,0.0
0,2,-100.0,-0.0967363013771453,-100.0,-0.0907434306104816
0,3,-100.0,-0.028153900000000003,-0.1358556176991553,-0.15387476337227468
0,4,-100.0,-0.0976082418803475,-0.0970180943584601,-0.10499217363008545
0,5,-100.0,-100.0,-0.10064968702191274,-0.10584899379479608
0,6,-100.0,-0.09713956468107109,-0.10344115591965246,-0.10398774350729095
0,7,-100.0,-0.10383288915161076,-0.09229309261659396,-0.0886430318524071
0,8,-100.0,-0.0854496846854245,-0.08612475882416923,-0.07910787993454542
0,9,-100.0,-0.07790058287584212,-0.07697738695339001,-100.0
1,0,-0.13306124498269517,-0.019000000000000003,-100.0,-0.15717706237946974
1,1,-100.0,-0.1014507425164301,-0.09951654933454698,-0.1008533324417293
1,2,-0.08373603765968805,-0.08336935597600001,-0.0833019720914458,-0.079979276545039
1,3,-0.07499627848900002,-0.04839700690000001,-0.063769477204,-0.011710000000000002
1,4,-0.14341127067735096,-0.15696321072824115,-0.019000000000000003,-100.0
1,5,0.0,0.0,0.0,0.0
1,6,-0.14423467576333202,-0.034390000000000004,-100.0,-0.12876429961089436
1,7,-0.0938135696855924,-0.08851069142572512,-0.0905349974995351,-0.09409717848378801
1,8,-0.0843976725009238,-0.0861427947472381,-0.08596192785374883,-0.08569133372475839
1,9,-0.075424180487239,-0.07782961956501701,-0.08718805920398265,-100.0
2,0,-0.04742218000000001,-100.0,-100.0,-0.010900000000000002
2,1,-0.13768693638676602,-100.0,-0.03704851000000001,-0.08497437998601903
2,2,-0.09588282170011343,-0.0947011642618598,-0.08487092539000002,-0.08622258644503901
2,3,-0.028153900000000003,-100.0,-0.13369247624548086,-0.13711224796731236
2,4,-0.09950388119816389,-100.0,-0.09758730855094307,-100.0
2,5,0.0,0.0,0.0,0.0
2,6,-0.061745572000000006,-100.0,-100.0,0.0
2,7,-0.11434346273685883,-0.0678536180851251,-0.027100000000000006,-0.09542952565771691
2,8,-0.07559338532588021,-0.08044374494191421,-0.073645971391,-0.07838995766939201
2,9,-0.07647069097425152,-0.0780593183084781,-0.07800675187894023,-100.0
3,0,0.0,0.0,0.0,0.0
3,1,0.0,0.0,0.0,0.0
3,2,-0.09420176187404067,-100.0,-100.0,-100.0
3,3,0.0,0.0,0.0,0.0
3,4,0.0,0.0,0.0,0.0
3,5,0.0,-0.010000000000000002,0.0,0.0
3,6,0.0,0.0,0.0,0.0
