,,UP,DOWN,LEFT,RIGHT
0,0,-100.0,1.690771566461498,-100.0,-100.0
0,1,0.0,0.0,0.0,0.0
0,2,-100.0,2.3353386191156407,-100.0,-0.010000000000000002
0,3,-100.0,1.0,0.0,0.0
0,4,-100.0,-0.010000000000000002,0.0,0.0
0,5,0.0,0.0,0.0,0.0
0,6,0.0,0.0,0.0,0.0
0,7,0.0,0.0,0.0,0.0
0,8,0.0,0.0,0.0,0.0
0,9,0.0,0.0,0.0,0.0
1,0,0.07480144884151513,1.4718114854482507,-100.0,7.893705296626757
1,1,-100.0,1.1616692448891683,4.054749854740088,8.897321903806363
1,2,0.16791551094932966,0.5773365578032124,2.8733620892653353,9.999672081495214
1,3,0.0,0.0,0.0,0.0
1,4,-0.010000000000000002,-0.010000000000000002,0.0,0.0
1,5,0.0,0.0,0.0,0.0
1,6,0.0,0.0,0.0,0.0
1,7,0.0,0.0,0.0,0.0
1,8,0.0,0.0,0.0,0.0
1,9,0.0,0.0,0.0,0.0
2,0,6.95343623009672,-100.0,-100.0,1.6150649198940403
2,1,5.611758955671048,-100.0,0.4576543508303617,-0.0118
2,2,3.5497478283458075,0.0,0.0,-0.010000000000000002
2,3,1.0,0.0,0.0,-0.010000000000000002
2,4,-0.010000000000000002,0.0,-0.010000000000000002,-100.0
2,5,0.0,0.0,0.0,0.0
2,6,0.0,0.0,0.0,0.0
2,7,0.0,0.0,0.0,0.0
2,8,0.0,0.0,0.0,0.0
2,9,0.0,0.0,0.0,0.0
3,0,0.0,0.0,0.0,0.0
3,1,0.0,0.0,0.0,0.0
3,2,0.0,0.0,0.0,0.0
3,3,0.0,0.0,0.0,0.0
3,4,0.0,0.0,0.0,0.0
3,5,0.0,0.0,0.0,0.0
3,6,0.0,0.0,0.0,0.0
3,7,0.0,0.0,0.0,0.0
3,8,0.0,0.0,0.0,0.0
3,9,0.0,0.0,0.0,0.0
4,0,0.0,0.0,0.0,0.0
4,1,0.0,0.0,0.0,0.0
4,2,0.0,0.0,0.0,0.0
4,3,0.0,0.0,0.0,0.0
4,4,0.0,0.0,0.0,0.0
4,5,0.0,0.0,0.0,0.0
4,6,0.0,0.0,0.0,0.0
4,7,0.0,0.0,0.0,0.0
4,8,0.0,0.0,0.0,0.0
4,9,0.0,0.0,0.0,0.0
5,0,0.0,0.0,0.0,0.0
5,1,0.0,0.0,0.0,0.0
5,2,0.0,0.0,0.0,0.0
5,3,0.0,0.0,0.0,0.0
5,4,0.0,0.0,0.0,0.0
5,5,0.0,0.0,0.0,0.0
5,6,0.0,0.0,0.0,0.0
5,7,0.0,0.0,0.0,0.0
5,8,0.0,0.0,0.0,0.0
5,9,0.0,0.0,0.0,0.0
6,0,0.0,0.0,0.0,0.0
6,1,0.0,0.0,0.0,0.0
6,2,0.0,0.0,0.0,0.0
6,3,0.0,0.0,0.0,0.0
6,4,0.0,0.0,0.0,0.0
6,5,0.0,0.0,0.0,0.0
6,6,0.0,0.0,0.0,0.0
6,7,0.0,0.0,0.0,0.0
6,8,0.0,0.0,0.0,0.0
6,9,0.0,0.0,0.0,0.0
7,0,0.0,0.0,0.0,0.0
7,1,0.0,0.0,0.0,0.0
7,2,0.0,0.0,0.0,0.0
7,3,0.0,0.0,0.0,0.0
7,4,0.0,0.0,0.0,0.0
7,5,0.0,0.0,0.0,0.0
7,6,0.0,0.0,0.0,0.0
7,7,0.0,0.0,0.0,0.0
7,8,0.0,0.0,0.0,0.0
7,9,0.0,0.0,0.0,0.0
8,0,0.0,0.0,0.0,0.0
8,1,0.0,0.0,0.0,0.0
8,2,0.0,0.0,0.0,0.0
8,3,0.0,0.0,0.0,0.0
8,4,0.0,0.0,0.0,0.0
8,5,0.0,0.0,0.0,0.0
8,6,0.0,0.0,0.0,0.0
8,7,0.0,0.0,0.0,0.0
8,8,0.0,0.0,0.0,0.0
8,9,0.0,0.0,0.0,0.0
9,0,0.0,0.0,0.0,0.0
9,1,0.0,0.0,0.0,0.0
9,2,0.0,0.0,0.0,0.0
9,3,0.0,0.0,0.0,0.0
9,4,0.0,0.0,0.0,0.0
9,5,0.0,0.0,0.0,0.0
9,6,0.0,0.0,0.0,0.0
9,7,0.0,0.0,0.0,0.0
9,8,0.0,0.0,0.0,0.0
9,9,0.0,0.0,0.0,0.0
