,,UP,DOWN,LEFT,RIGHT
0,0,0.0,0.0,0.0,0.0
0,1,0.0,0.0,0.0,0.0
0,2,0.0,0.0,0.0,0.0
0,3,0.0,0.0,0.0,0.0
0,4,0.0,0.0,0.0,0.0
0,5,0.0,0.0,0.0,0.0
0,6,0.0,0.0,0.0,-0.010900000000000002
0,7,-100.0,-0.019000000000000003,-0.010000000000000002,-0.0199
0,8,-100.0,-0.0199,-0.019000000000000003,-0.020710000000000003
0,9,-100.0,-0.028891000000000007,-0.0199,-100.0
1,0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,0.0
1,2,0.0,0.0,0.0,0.0
1,3,0.0,0.0,0.0,0.0
1,4,0.0,0.0,0.0,0.0
1,5,0.0,0.0,0.0,0.0
1,6,0.0,0.0,0.0,-0.010900000000000002
1,7,-0.0199,-0.019000000000000003,-0.010000000000000002,-0.019981000000000006
1,8,-0.0199,-0.0199,-0.019000000000000003,-0.021520000000000004
1,9,-0.028000000000000004,-0.029701000000000005,-0.0199,-100.0
2,0,0.0,0.0,0.0,0.0
2,1,0.0,0.0,0.0,0.0
2,2,0.0,0.0,0.0,0.0
2,3,0.0,0.0,0.0,0.0
2,4,0.0,0.0,0.0,0.0
2,5,0.0,0.0,0.0,0.0
2,6,0.0,0.0,0.0,0.0
2,7,-0.0199,-0.019000000000000003,0.0,-0.010000000000000002
2,8,-0.0199,-0.0199,-0.010000000000000002,-0.030349000000000004
2,9,-0.028000000000000004,-0.02962,-0.028810000000000002,-100.0
3,0,0.0,0.0,0.0,0.0
3,1,0.0,0.0,0.0,0.0
3,2,0.0,0.0,0.0,0.0
3,3,0.0,0.0,0.0,0.0
3,4,0.0,0.0,0.0,0.0
3,5,-100.0,-0.0199,-100.0,-100.0
3,6,0.0,0.0,0.0,0.0
3,7,-0.019000000000000003,-100.0,-100.0,-0.0199
3,8,-0.0199,-100.0,-0.019000000000000003,-0.020791000000000004
3,9,-0.028891000000000007,-0.029701000000000005,-0.0199,-100.0
4,0,-100.0,-0.029692900000000005,-100.0,-0.034390000000000004
4,1,-100.0,-0.036910000000000005,-0.022249000000000005,0.0
4,2,0.0,0.0,0.0,0.0
4,3,-100.0,-0.029701000000000005,-100.0,-100.0
4,4,0.0,0.0,0.0,0.0
4,5,-0.0199,-0.028081000000000002,-100.0,-100.0
4,6,0.0,0.0,0.0,0.0
4,7,0.0,0.0,0.0,0.0
4,8,0.0,0.0,0.0,0.0
4,9,-0.028000000000000004,-0.02962,-100.0,-100.0
5,0,-0.04492900000000001,-0.0462412,-100.0,-0.044046100000000005
5,1,-0.019000000000000003,-0.046855900000000006,-0.06957730000000001,-100.0
5,2,0.0,0.0,0.0,0.0
5,3,-0.028891000000000007,-0.029701000000000005,-100.0,-100.0
5,4,0.0,0.0,0.0,0.0
5,5,-0.02962,-0.020710000000000003,-100.0,-0.04420000000000001
5,6,-100.0,-0.028000000000000004,-0.03537100000000001,-0.028810000000000002
5,7,-100.0,-0.0199,-0.03180700000000001,-0.019000000000000003
5,8,-100.0,-0.019000000000000003,-0.010900000000000002,-0.02962
5,9,-0.028810000000000002,-0.028000000000000004,-0.020710000000000003,-100.0
6,0,-0.03931651000000001,-0.043624090000000004,-100.0,-0.034390000000000004
6,1,-0.05638734100000001,0.0,-0.0397531,-0.037639000000000006
6,2,-100.0,-0.034390000000000004,-0.027100000000000006,-0.030430000000000006
6,3,-0.028810000000000002,-0.02962,-0.030349000000000004,-0.029701000000000005
6,4,-100.0,-0.029701000000000005,-0.030575800000000007,-0.028810000000000002
6,5,-0.028081000000000002,-0.029701000000000005,-0.029854090000000007,-0.020710000000000003
6,6,-0.020710000000000003,-100.0,-0.028891000000000007,-0.0199
6,7,-0.028891,-100.0,-0.0199,-0.0199
6,8,-0.019981000000000006,-100.0,-0.029701000000000005,-0.020791000000000004
6,9,-0.019981000000000006,-100.0,-0.029701000000000005,-100.0
7,0,-0.0397531,-0.0394046461,-100.0,-0.034390000000000004
7,1,-0.019000000000000003,-100.0,-0.0327628,0.0
7,2,-0.030349000000000004,-100.0,-0.010000000000000002,-0.036910000000000005
7,3,-0.028000000000000004,-100.0,-0.034390000000000004,-0.019000000000000003
7,4,-0.028810000000000002,-100.0,-0.020710000000000003,-0.02962
7,5,-0.029708290000000005,-100.0,-0.027100000000000006,-100.0
7,6,0.0,0.0,0.0,0.0
7,7,0.0,0.0,0.0,0.0
7,8,0.0,0.0,0.0,0.0
7,9,0.0,0.0,0.0,0.0
8,0,-0.037639000000000006,-0.039423673000000006,-100.0,-100.0
8,1,0.0,0.0,0.0,0.0
8,2,0.0,0.0,0.0,0.0
8,3,0.0,0.0,0.0,0.0
8,4,0.0,0.0,0.0,0.0
8,5,0.0,0.0,0.0,0.0
8,6,-100.0,-0.028000000000000004,-100.0,0.5967360459978183
8,7,-100.0,-100.0,-0.029773900000000002,51.14989764381705
8,8,-100.0,47.44509437906566,17.983666004201417,89.84231795207997
8,9,-100.0,99.99238226519539,30.05441202768571,-100.0
9,0,-0.038449000000000004,-100.0,-100.0,-0.03960082000000001
