,,UP,DOWN,LEFT,RIGHT
0,0,-100.0,-0.3103346968696348,-100.0,-100.0
0,1,0.0,0.0,0.0,0.0
0,2,-100.0,-0.3187740515800017,-100.0,-0.3190989254002631
0,3,-100.0,-0.24887879769838314,-0.38270948324817916,-0.3848526371685268
0,4,-100.0,-0.32000447721647196,-0.3198454902654767,-0.3678708698205057
0,5,-100.0,-100.0,-0.346829567123663,-0.34913325081085184
0,6,-100.0,-0.3379363382391857,-0.3494912101847736,-0.3534553516034857
0,7,-100.0,-0.1760134994262741,-0.3386346290371623,-0.33475199666727
0,8,-100.0,-0.2785807927067844,-0.314760996327053,-0.3094759909118657
0,9,-100.0,-0.29493669333044503,-0.29656392746382176,-100.0
1,0,-0.37155211206700506,-0.24204084215774616,-100.0,-0.3742142532518651
1,1,-100.0,-0.31212160211213036,-0.3117197142262607,-0.31394902284536536
1,2,-0.2835271654739693,-0.3146314215171473,-0.3038487874122916,-0.26627439921243196
1,3,-0.3120578171366837,-0.31144603011127514,-0.33259578148142604,-0.19103543904864004
1,4,-0.38339838893652034,-0.3806012361706762,-0.24935432211027508,-100.0
1,5,0.0,0.0,0.0,0.0
1,6,-0.4052551248618334,-0.28059370159657004,-100.0,0.4827810301363429
1,7,-0.3468461841585566,1.04521274812104,-0.21545431592329345,-0.240368107125298
1,8,-0.308790472983804,0.3500985767687108,-0.2976837758579832,-0.2962540830235706
1,9,-0.27952680845158395,-0.2515915050167047,-0.28468954803251256,-100.0
2,0,-0.2974730905451924,-100.0,-100.0,-0.2108701302600995
2,1,-0.3718314479371923,-100.0,-0.24940484131611343,-0.37615619160786673
2,2,-0.3148500610256961,-0.3662734901602152,-0.31448615767864385,-0.3142903397853868
2,3,-0.2500588365144256,-100.0,-0.3778932995838691,-0.38298842796883004
2,4,-0.3176759138579166,-100.0,-0.317734847691022,-100.0
2,5,0.0,0.0,0.0,0.0
2,6,0.03524417420211233,-100.0,-100.0,-0.18106293410249702
2,7,-0.19955107541130726,-0.21468551487563803,-0.25938925631071597,1.7366934220278756
2,8,-0.26639301869660625,2.6387193331915744,-0.2471781606461043,-0.267217449050977
2,9,-0.27245374131018996,0.8944843196174146,-0.25852496094417465,-100.0
3,0,0.0,0.0,0.0,0.0
3,1,0.0,0.0,0.0,0.0
3,2,-0.3431088780229449,-100.0,-100.0,-100.0
3,3,0.0,0.0,0.0,0.0
3,4,0.0,0.0,0.0,0.0
3,5,0.0,0.0,0.0,0.0
3,6,0.0,0.0,0.0,0.0
3,7,-0.287588631001827,-100.0,-100.0,1.0538396154327638
3,8,0.23554607714138848,-100.0,-0.10150485503840401,3.558442225593989
3,9,-0.09721046193506361,4.436378631127756,0.46626752134249283,-100.0
4,0,0.0,0.0,0.0,0.0
4,1,0.0,0.0,0.0,0.0
4,2,0.0,0.0,0.0,0.0
4,3,0.0,0.0,0.0,0.0
4,4,0.0,0.0,0.0,0.0
4,5,0.0,0.0,0.0,0.0
4,6,0.0,0.0,0.0,0.0
4,7,0.0,0.0,0.0,0.0
4,8,0.0,0.0,0.0,0.0
4,9,1.6567242248162124,5.272207001891898,-100.0,-100.0
5,0,0.0,0.0,0.0,0.0
5,1,0.0,0.0,0.0,0.0
5,2,0.0,0.0,0.0,0.0
5,3,0.0,0.0,0.0,0.0
5,4,0.0,0.0,0.0,0.0
5,5,9.999734386011124,0.058071232719248446,-100.0,2.073354039395421
5,6,-100.0,0.51978306922322,8.897534879864324,3.106883721231344
5,7,-100.0,0.12309678198818644,7.899541790756871,2.5291950505374934
5,8,-100.0,0.1340736836685298,6.9778818285842386,2.051393153668637
5,9,1.2258347621549637,-0.035356962841013334,6.1150217424477304,-100.0
6,0,0.0,0.0,0.0,0.0
6,1,0.0,0.0,0.0,0.0
6,2,0.0,0.0,0.0,0.0
6,3,0.0,-0.010000000000000002,0.0,0.0
6,4,-100.0,-0.010000000000000002,-0.010000000000000002,-0.010000000000000002
6,5,1.6806036312161057,-0.010000000000000002,-0.010000000000000002,0.07507284605370412
6,6,3.2942137200674435,-100.0,-0.010000000000000002,0.07486948258447959
6,7,1.6226233344818066,-100.0,0.10885320428363235,-0.043714083681966706
6,8,1.5859332404706556,-100.0,-0.051636610000000006,-0.050948401795804496
6,9,0.844119995272077,-100.0,-0.06906924443863902,-100.0
7,0,0.0,0.0,0.0,0.0
7,1,0.0,0.0,0.0,0.0
7,2,0.0,0.0,0.0,0.0
7,3,0.0,0.0,0.0,-0.010000000000000002
7,4,-0.019000000000000003,0.0,0.0,0.0
7,5,-0.010000000000000002,0.0,0.0,-100.0
7,6,0.0,0.0,0.0,0.0
7,7,0.0,0.0,0.0,0.0
7,8,0.0,0.0,0.0,0.0
7,9,0.0,0.0,0.0,0.0
8,0,0.0,0.0,0.0,0.0
8,1,0.0,0.0,0.0,0.0
8,2,0.0,0.0,0.0,0.0
8,3,0.0,0.0,0.0,0.0
8,4,0.0,0.0,0.0,0.0
8,5,0.0,0.0,0.0,0.0
8,6,0.0,0.0,0.0,0.0
8,7,0.0,0.0,0.0,0.0
8,8,0.0,0.0,0.0,0.0
8,9,0.0,0.0,0.0,0.0
9,0,0.0,0.0,0.0,0.0
9,1,0.0,0.0,0.0,0.0
9,2,0.0,0.0,0.0,0.0
9,3,0.0,0.0,0.0,0.0
9,4,0.0,0.0,0.0,0.0
9,5,0.0,0.0,0.0,0.0
9,6,0.0,0.0,0.0,0.0
9,7,0.0,0.0,0.0,0.0
9,8,0.0,0.0,0.0,0.0
9,9,0.0,0.0,0.0,0.0
