,,UP,DOWN,LEFT,RIGHT
0,0,-100.0,-0.12973236223393753,-100.0,-100.0
0,1,0.0,0.0,0.0,0.0
0,2,-100.0,-0.11948833730851376,-100.0,0.4765298673252817
0,3,-100.0,0.656133524398473,-0.16521749988398057,6.095855822586364
0,4,-100.0,0.2679193688768794,1.6768337958695345,6.970641703041037
0,5,-100.0,-100.0,3.299682529710825,7.8940448249402895
0,6,-100.0,8.896732494829969,3.2203628151245067,-0.00862850410670932
0,7,-100.0,1.0836569357818344,-0.020710000000000003,-0.036181000000000005
0,8,-100.0,-0.028000000000000004,-0.00899809517661452,-0.02962
0,9,-100.0,-0.028000000000000004,-0.02061982856589531,-100.0
1,0,-0.20174270086706014,-0.054128579131,-100.0,-0.18935286979980623
1,1,-100.0,-0.12317936186068507,-0.1234266034505835,-0.12812167471184505
1,2,-0.1114634804986681,-0.1192479656225409,-0.1275517949385323,0.7617919575839054
1,3,5.219506389776328,-0.06493856312199087,-0.1253137991337574,0.2797168987923026
1,4,2.5894873008614,-0.15538891450700604,0.4225475870641035,-100.0
1,5,0.0,0.0,0.0,0.0
1,6,3.677325352785077,9.999595162339771,-100.0,1.165071125120933
1,7,0.03319861500914973,0.22490000000000002,4.936511029453418,-0.02962
1,8,-0.019981000000000006,-0.019000000000000003,0.37701499569033714,-0.0199
1,9,-0.019981000000000006,-0.028000000000000004,-0.0199,-100.0
2,0,-0.07466603430835,-100.0,-100.0,-0.021608290000000002
2,1,-0.18488578853444934,-100.0,-0.03887962759000001,-0.17855903891661212
2,2,-0.0587947787591421,-0.13115386042781293,-0.11964124430999974,-0.11969247461371038
2,3,0.26670722319893536,-100.0,-0.1822836875102466,-0.1726874542908907
2,4,0.06438114992325697,-100.0,-0.10748671975410566,-100.0
2,5,0.0,0.0,0.0,0.0
2,6,0.0,0.0,0.0,0.0
2,7,-0.010000000000000002,-0.019000000000000003,3.439,0.0
2,8,-0.010900000000000002,-0.010000000000000002,-0.010000000000000002,-0.010900000000000002
2,9,-0.020710000000000003,-0.019000000000000003,-0.010000000000000002,-100.0
3,0,0.0,0.0,0.0,0.0
3,1,0.0,0.0,0.0,0.0
3,2,-0.13106413059877062,-100.0,-100.0,-100.0
3,3,0.0,0.0,0.0,0.0
3,4,0.0,0.0,0.0,0.0
3,5,0.0,0.0,0.0,0.0
3,6,0.0,0.0,0.0,0.0
3,7,0.2978,-100.0,-100.0,-0.010000000000000002
3,8,-0.010000000000000002,0.0,-0.013420000000000001,-0.010000000000000002
3,9,-0.010000000000000002,0.0,-0.019000000000000003,0.0
4,0,0.0,0.0,0.0,0.0
4,1,0.0,0.0,0.0,0.0
4,2,0.0,0.0,0.0,0.0
4,3,0.0,0.0,0.0,0.0
4,4,0.0,0.0,0.0,0.0
4,5,0.0,0.0,0.0,0.0
4,6,0.0,0.0,0.0,0.0
4,7,0.0,0.0,0.0,0.0
4,8,0.0,0.0,0.0,0.0
4,9,0.0,0.0,0.0,0.0
5,0,0.0,0.0,0.0,0.0
5,1,0.0,0.0,0.0,0.0
5,2,0.0,0.0,0.0,0.0
5,3,0.0,0.0,0.0,0.0
5,4,0.0,0.0,0.0,0.0
5,5,0.0,0.0,0.0,0.0
5,6,0.0,0.0,0.0,0.0
5,7,0.0,0.0,0.0,0.0
5,8,0.0,0.0,0.0,0.0
5,9,0.0,0.0,0.0,0.0
6,0,0.0,0.0,0.0,0.0
6,1,0.0,0.0,0.0,0.0
6,2,0.0,0.0,0.0,0.0
6,3,0.0,0.0,0.0,0.0
6,4,0.0,0.0,0.0,0.0
6,5,0.0,0.0,0.0,0.0
6,6,0.0,0.0,0.0,0.0
6,7,0.0,0.0,0.0,0.0
6,8,0.0,0.0,0.0,0.0
6,9,0.0,0.0,0.0,0.0
7,0,0.0,0.0,0.0,0.0
7,1,0.0,0.0,0.0,0.0
7,2,0.0,0.0,0.0,0.0
7,3,0.0,0.0,0.0,0.0
7,4,0.0,0.0,0.0,0.0
7,5,0.0,0.0,0.0,0.0
7,6,0.0,0.0,0.0,0.0
7,7,0.0,0.0,0.0,0.0
7,8,0.0,0.0,0.0,0.0
7,9,0.0,0.0,0.0,0.0
8,0,0.0,0.0,0.0,0.0
8,1,0.0,0.0,0.0,0.0
8,2,0.0,0.0,0.0,0.0
8,3,0.0,0.0,0.0,0.0
8,4,0.0,0.0,0.0,0.0
8,5,0.0,0.0,0.0,0.0
8,6,0.0,0.0,0.0,0.0
8,7,0.0,0.0,0.0,0.0
8,8,0.0,0.0,0.0,0.0
8,9,0.0,0.0,0.0,0.0
9,0,0.0,0.0,0.0,0.0
9,1,0.0,0.0,0.0,0.0
9,2,0.0,0.0,0.0,0.0
9,3,0.0,0.0,0.0,0.0
9,4,0.0,0.0,0.0,0.0
9,5,0.0,0.0,0.0,0.0
9,6,0.0,0.0,0.0,0.0
9,7,0.0,0.0,0.0,0.0
9,8,0.0,0.0,0.0,0.0
9,9,0.0,0.0,0.0,0.0
