,,UP,DOWN,LEFT,RIGHT
3,3,0.0,0.0,0.0,0.0
3,4,0.0,0.0,0.0,0.0
3,5,-100.0,-0.5199318628632162,-100.0,-100.0
3,6,0.0,0.0,0.0,0.0
3,7,-0.5423702033311022,-100.0,-100.0,-0.5501476783933517
3,8,-0.5476062903952386,-100.0,-0.5490367567939491,-0.5499542671702342
3,9,-0.5542637374724717,-0.554181931011425,-0.5513934670498608,-100.0
4,0,-100.0,-0.5873716913205398,-100.0,-0.5864714561681602
4,1,-100.0,-0.5838984088968029,-0.6015370475694123,-100.0
4,2,0.0,0.0,0.0,0.0
4,3,-100.0,-0.5575331844137189,-100.0,-100.0
4,4,0.0,0.0,0.0,0.0
4,5,-0.5188674294032382,-0.5215821646901257,-100.0,-100.0
4,6,0.0,0.0,0.0,0.0
4,7,0.0,0.0,0.0,0.0
4,8,0.0,0.0,0.0,0.0
4,9,-0.5520621765414091,-0.5538910634633217,-100.0,-100.0
5,0,-0.568737883321664,-0.5288455197338261,-100.0,-0.5741707658188684
5,1,-0.5598863866074438,-0.5020148208491668,-0.5884130059476738,-100.0
5,2,0.0,0.0,0.0,0.0
5,3,-0.5572216234794214,-0.5578192782573517,-100.0,-100.0
5,4,0.0,0.0,0.0,0.0
5,5,-0.5179230554211384,-0.5891201368765588,-100.0,-0.5841981624957214
5,6,-100.0,-0.5569378516258355,-0.5501032525032239,-0.5541309243741197
5,7,-100.0,-0.5559963110012628,-0.5516828957975842,-0.5529163335489328
5,8,-100.0,-0.5562587455544216,-0.5519447359091816,-0.5569649010848029
5,9,-0.5523793481153783,-0.5538094769432809,-0.5562082819126485,-100.0
6,0,-0.5517832086603145,-0.08080076736430783,-100.0,-0.544824894855576
6,1,-0.5932990689597464,-0.5060895603877862,-0.35159545723506014,-0.5943260189070305
6,2,-100.0,-0.5518638961095237,-0.5522063391806564,-0.5769240148873215
6,3,-0.557016024859202,-0.5622414825190322,-0.5595161200640546,-0.5582448858237206
6,4,-100.0,-0.5564965608836856,-0.5540314651755772,-0.5594972242041909
6,5,-0.5566228458622926,-0.563767974045245,-0.5569049970739163,-0.555800273402878
6,6,-0.5529566267984498,-100.0,-0.5598300580548603,-0.5558611740738064
6,7,-0.5563230184062431,-100.0,-0.557385593644268,-0.5543400385495021
6,8,-0.5564137642090555,-100.0,-0.5569944657251342,-0.5553418062247978
6,9,-0.5511882623948032,-100.0,-0.5579942747857659,-100.0
7,0,-0.5237880707123542,0.31351013178455944,-100.0,-0.5028201486858539
7,1,-0.5397501875777432,-100.0,-0.4844919768840863,-0.4652814668066326
7,2,-0.5935826752805546,-100.0,-0.5049534799106352,-0.5945336706884408
7,3,-0.5602347734712294,-100.0,-0.5528358597914281,-0.5553627900036125
7,4,-0.5558656138607374,-100.0,-0.5552655276451827,-0.5551172651980796
7,5,-0.5586337052734014,-100.0,-0.5598953649657861,-100.0
7,6,0.0,0.0,0.0,0.0
7,7,0.0,0.0,0.0,0.0
7,8,0.0,0.0,0.0,0.0
7,9,0.0,0.0,0.0,0.0
8,0,-0.45942543184161844,0.85026047667544,-100.0,-100.0
8,1,0.0,0.0,0.0,0.0
8,2,0.0,0.0,0.0,0.0
8,3,0.0,0.0,0.0,0.0
8,4,0.0,0.0,0.0,0.0
8,5,0.0,0.0,0.0,0.0
8,6,-100.0,1.3969847105113167,-100.0,7.894085349459756
8,7,-100.0,-100.0,2.1294729450669245,8.896742191924563
8,8,-100.0,9.99950020041947,3.147035978308637,9.037695590000002
8,9,-100.0,40.892498571428575,0.8584716004550611,0.0
9,0,-0.326659062102057,-100.0,-100.0,1.5318194576742015
9,1,-100.0,-100.0,-0.35550403511522116,2.381726008912606
9,2,-100.0,-100.0,-0.24985483199991815,3.3234703792334575
9,3,-100.0,-100.0,0.07685504071794225,4.230711457379259
9,4,-100.0,-100.0,0.6272064337302572,5.149450608865015
9,5,-100.0,-100.0,-0.06803046238834645,6.065245664658448
9,6,6.9631355342058185,-100.0,0.44719566396249855,-100.0
9,7,0.0,0.0,0.0,0.0
9,8,0.0,0.0,0.0,0.0
9,9,0.0,0.0,0.0,0.0
